,ProE/BasoE,Early-PolyE,Late-PolyE,Early-OrthoE,Late-OrthoE
FOXO4_12g,0.001276322,0.002122537,0.005791987,0.011881322,0.014421932
UQCRB_115g,0.012145196,0.018986783,0.022707631,0.031153561,0.038929088
IRF3_extended_139g,0.051449725,0.073180504,0.085576848,0.122412178,0.159104156
NFE2_extended_663g,0.250135748,0.282906323,0.328229936,0.384424984,0.40970288
NFE2_178g,0.049911301,0.080934772,0.112794843,0.157953777,0.171885992
ZNF143_extended_1107g,0.139800532,0.213609436,0.237483114,0.272879098,0.296521242
ZNF143_516g,0.050831704,0.074158071,0.093764618,0.103305092,0.110366549
IRF9_extended_40g,0.001168315,0.003566383,0.007831871,0.057415667,0.005267717
IRF9_21g,0.001313011,0.003850579,0.007522449,0.086374801,0.004829434
KLF3_extended_29g,0.000776067,0.001438041,0.005968289,0.012116043,0.007897623
TBL1XR1_extended_20g,0.001228862,0.00360855,0.010412857,0.016145935,0.010951144
GATA1_extended_12g,0.077238293,0.086777391,0.108163713,0.112606104,0.102043028
NFE2L2_extended_12g,0.001315186,0.00299866,0.018944998,0.037354055,0.009017772
CHD2_extended_13g,0.014962469,0.03488733,0.059037032,0.075850167,0.0558644
EP300_extended_413g,0.064110088,0.095371023,0.128795329,0.158698466,0.098127664
EP300_261g,0.033740991,0.049364737,0.072808094,0.095520127,0.06306923
FOXO3_extended_315g,0.051867978,0.084691427,0.141767115,0.227474295,0.199602447
FOXO3_186g,0.017956327,0.037149525,0.068219386,0.124427505,0.094652442
FOXP1_extended_90g,0.003154888,0.008715369,0.025234553,0.054049753,0.021257487
FOXP1_44g,0.001994064,0.005120733,0.0269253,0.064779901,0.025810713
BRCA1_extended_1146g,0.093918906,0.065337085,0.061707225,0.055151059,0.054236678
BRCA1_926g,0.074733568,0.05058616,0.048924104,0.042699034,0.042864604
CREB1_extended_1538g,0.283248211,0.308453193,0.305872803,0.268721001,0.274387299
UBTF_extended_1230g,0.225645828,0.233069119,0.228883159,0.208096519,0.21084052
YY1_extended_2017g,0.3408878,0.361431417,0.337093453,0.308866287,0.299956839
YY1_1407g,0.243079133,0.262736172,0.246114416,0.224142237,0.227694055
HCFC1_extended_1636g,0.174805357,0.225885375,0.201479685,0.176551439,0.176162891
HCFC1_991g,0.104621759,0.130202588,0.113990813,0.099502854,0.09676533
POLE4_extended_628g,0.067700259,0.0756735,0.051743953,0.049190083,0.048155086
ELF2_extended_1486g,0.149773307,0.167807885,0.146935406,0.122745493,0.11120539
ELF2_1116g,0.122342251,0.131970079,0.120734218,0.099396361,0.088773407
